id,Nome_KOI,Nome_Kepler,Disposicao_KOI,Pontuacao_KOI,Periodo_Orbital,Raio_Planeta,Temperatura_Equilibrio,Fluxo_Insolacao,Temperatura_Efetiva,Gravidade_Surface,Erro_Periodo_Orbital_+,Erro_Periodo_Orbital_-,Flag_Nao_Transito,Flag_Sinal_Secundario,Flag_Contaminacao,Flag_Contaminacao_Ecliptica
6974658,K02925.01,Kepler-1705 rr,CANDIDATE,0.999,0.716531851,1.11,2034.0,4063.57,3066.6666666666665,4.349,1.284e-06,-1.284e-06,0,0,0,0
9634821,K02037.02,Kepler-2571 r,CANDIDATE,1.0,5.47715718,2.17,892.0,149.23,2776.1111111111113,4.429,2.123e-05,-2.123e-05,0,0,0,0
9758089,K01871.02,Kepler-1996 b,CONFIRMED,1.0,32.376183,2.26,392.0,5.61,2526.6666666666665,4.641,0.0001311,-0.0001311,0,0,0,0
10005758,K01783.02,Kepler-1662 c,CONFIRMED,0.991,284.063137,6.36,321.0,2.51,3199.4444444444443,4.185,0.001795,-0.001795,0,0,0,0
12405333,K03009.01,Kepler-1409 b,CONFIRMED,0.986,0.764863517,1.04,1733.0,2145.14,2888.3333333333335,4.476,3.289e-06,-3.289e-06,0,0,0,0
2715695,K03077.01,Kepler-1899 b,CONFIRMED,1.0,4.09578199,1.64,851.0,124.3,2643.8888888888887,4.577,2.002e-05,-2.002e-05,0,0,0,0
11442793,K00351.04,Kepler-90 e,CONFIRMED,0.971,91.9401253,2.62,450.0,9.71,3298.8888888888887,4.317,0.0005466,-0.0005466,0,0,0,0
12352520,K03094.01,Kepler-1904 b,CONFIRMED,1.0,4.5770016,1.33,567.0,24.38,2096.1111111111113,4.767,1.039e-05,-1.039e-05,0,0,0,0
7455981,K03096.01,Kepler-1425 b,CONFIRMED,0.941,14.4540329,0.72,676.0,49.51,3070.5555555555557,4.496,0.0001784,-0.0001784,0,0,0,0
5474613,K01599.02,Kepler-1659 b,CONFIRMED,0.989,13.6164547,22.29,755.0,76.81,3217.222222222222,4.472,0.0001053,-0.0001053,0,0,0,0
9823519,K02793.02,Kepler-1350 c,CONFIRMED,0.999,1.766789509,1.4,730.0,66.95,2036.6666666666667,4.81,6.768e-06,-6.768e-06,0,0,0,0
2715695,K03077.02,Kepler-9957 r,CANDIDATE,0.976,7.55842923,1.46,694.0,54.85,2643.8888888888887,4.577,8.603e-05,-8.603e-05,0,0,0,0
